"","ID","sample","Age","domain","propImmediate"
"1",1001,"Primary",37,"Money",0.452380952380952
"2",1002,"Primary",60,"Money",0.166666666666667
"3",1003,"Primary",72,"Money",0.785714285714286
"4",1004,"Primary",71,"Money",1
"5",1005,"Primary",30,"Money",0.761904761904762
"6",1006,"Primary",52,"Money",0.761904761904762
"7",1007,"Primary",39,"Money",0.880952380952381
"8",1008,"Primary",68,"Money",0.666666666666667
"9",1009,"Primary",58,"Money",0.119047619047619
"10",1010,"Primary",73,"Money",1
"11",1011,"Primary",71,"Money",0.547619047619048
"12",1012,"Primary",18,"Money",0.5
"13",1013,"Primary",84,"Money",0.833333333333333
"14",1014,"Primary",67,"Money",0.714285714285714
"15",1015,"Primary",35,"Money",0.261904761904762
"16",1016,"Primary",30,"Money",0.571428571428571
"17",1017,"Primary",30,"Money",0.428571428571429
"18",1018,"Primary",67,"Money",0.976190476190476
"19",1019,"Primary",66,"Money",0
"20",1020,"Primary",50,"Money",1
"21",1021,"Primary",39,"Money",1
"22",1022,"Primary",58,"Money",0.595238095238095
"23",1023,"Primary",44,"Money",0.952380952380952
"24",1024,"Primary",45,"Money",0.619047619047619
"25",1025,"Primary",64,"Money",0.523809523809524
"26",1026,"Primary",72,"Money",1
"27",1027,"Primary",67,"Money",1
"28",1028,"Primary",40,"Money",0.785714285714286
"29",1029,"Primary",75,"Money",0.833333333333333
"30",1030,"Primary",37,"Money",0.976190476190476
"31",1031,"Primary",41,"Money",0.761904761904762
"32",1032,"Primary",35,"Money",0.976190476190476
"33",1033,"Primary",45,"Money",0.857142857142857
"34",1034,"Primary",51,"Money",0.404761904761905
"35",1035,"Primary",25,"Money",0
"36",1036,"Primary",40,"Money",0.333333333333333
"37",1037,"Primary",23,"Money",0
"38",1038,"Primary",41,"Money",0
"39",1039,"Primary",21,"Money",1
"40",1040,"Primary",19,"Money",0
"41",1041,"Primary",60,"Money",0.928571428571429
"42",1042,"Primary",56,"Money",0.928571428571429
"43",1043,"Primary",22,"Money",0.547619047619048
