"","ID","sample","Age","domain","propImmediate"
"2",1002,"Matching",60,"Money",0.166666666666667
"5",1005,"Matching",30,"Money",0.761904761904762
"8",1008,"Matching",68,"Money",0.666666666666667
"13",1013,"Matching",84,"Money",0.833333333333333
"14",1014,"Matching",67,"Money",0.714285714285714
"15",1015,"Matching",35,"Money",0.261904761904762
"16",1016,"Matching",30,"Money",0.571428571428571
"17",1017,"Matching",30,"Money",0.428571428571429
"18",1018,"Matching",67,"Money",0.976190476190476
"20",1020,"Matching",50,"Money",1
"21",1021,"Matching",39,"Money",1
"23",1023,"Matching",44,"Money",0.952380952380952
"28",1028,"Matching",40,"Money",0.785714285714286
"30",1030,"Matching",37,"Money",0.976190476190476
"36",1036,"Matching",40,"Money",0.333333333333333
"37",1037,"Matching",23,"Money",0
"40",1040,"Matching",19,"Money",0
"46",1046,"Matching",36,"Money",0.714285714285714
"47",1047,"Matching",21,"Money",1
"49",1049,"Matching",77,"Money",0.333333333333333
"51",1051,"Matching",27,"Money",1
"53",1053,"Matching",73,"Money",0.357142857142857
"65",1065,"Matching",25,"Money",1
"70",1070,"Matching",69,"Money",1
"71",1071,"Matching",49,"Money",0.714285714285714
"73",1073,"Matching",45,"Money",0.452380952380952
"75",1075,"Matching",53,"Money",0.928571428571429
"76",1076,"Matching",66,"Money",0.952380952380952
"77",1077,"Matching",56,"Money",1
"78",1078,"Matching",48,"Money",0.595238095238095
"79",1079,"Matching",69,"Money",0.238095238095238
"80",1080,"Matching",64,"Money",0
"82",1082,"Matching",56,"Money",0
"84",1084,"Matching",73,"Money",0.571428571428571
"88",1088,"Matching",59,"Money",0
"95",1095,"Matching",31,"Money",0.476190476190476
"103",1103,"Matching",27,"Money",0.857142857142857
"107",1107,"Matching",66,"Money",0.619047619047619
"111",1111,"Matching",24,"Money",0.476190476190476
"115",1115,"Matching",46,"Money",0
"117",1117,"Matching",86,"Money",0.976190476190476
"119",1119,"Matching",84,"Money",0.880952380952381
"147",1147,"Matching",53,"Money",0.547619047619048
"153",1153,"Matching",67,"Money",0.714285714285714
"161",1161,"Matching",26,"Money",0
"226",1226,"Matching",40,"Money",0.69047619047619
"235",1002,"Matching",60,"Health",0.523809523809524
"238",1005,"Matching",30,"Health",0.476190476190476
"241",1008,"Matching",68,"Health",1
"246",1013,"Matching",84,"Health",0.880952380952381
"247",1014,"Matching",67,"Health",1
"248",1015,"Matching",35,"Health",0.333333333333333
"249",1016,"Matching",30,"Health",0.69047619047619
"250",1017,"Matching",30,"Health",0.333333333333333
"251",1018,"Matching",67,"Health",0.952380952380952
"253",1020,"Matching",50,"Health",0.857142857142857
"254",1021,"Matching",39,"Health",0.880952380952381
"256",1023,"Matching",44,"Health",0.880952380952381
"261",1028,"Matching",40,"Health",0.785714285714286
"263",1030,"Matching",37,"Health",1
"269",1036,"Matching",40,"Health",0.380952380952381
"270",1037,"Matching",23,"Health",0.380952380952381
"273",1040,"Matching",19,"Health",0
"279",1046,"Matching",36,"Health",0.69047619047619
"280",1047,"Matching",21,"Health",0.928571428571429
"282",1049,"Matching",77,"Health",0.761904761904762
"284",1051,"Matching",27,"Health",1
"286",1053,"Matching",73,"Health",0.714285714285714
"298",1065,"Matching",25,"Health",1
"303",1070,"Matching",69,"Health",1
"304",1071,"Matching",49,"Health",0.904761904761905
"306",1073,"Matching",45,"Health",0.976190476190476
"308",1075,"Matching",53,"Health",1
"309",1076,"Matching",66,"Health",0.952380952380952
"310",1077,"Matching",56,"Health",1
"311",1078,"Matching",48,"Health",1
"312",1079,"Matching",69,"Health",0.357142857142857
"313",1080,"Matching",64,"Health",1
"315",1082,"Matching",56,"Health",0
"317",1084,"Matching",73,"Health",0.976190476190476
"321",1088,"Matching",59,"Health",0.0476190476190476
"328",1095,"Matching",31,"Health",0.619047619047619
"336",1103,"Matching",27,"Health",0.642857142857143
"340",1107,"Matching",66,"Health",0.928571428571429
"344",1111,"Matching",24,"Health",0.428571428571429
"348",1115,"Matching",46,"Health",0.0476190476190476
"350",1117,"Matching",86,"Health",0.785714285714286
"352",1119,"Matching",84,"Health",0.976190476190476
"380",1147,"Matching",53,"Health",0.642857142857143
"386",1153,"Matching",67,"Health",0.976190476190476
"394",1161,"Matching",26,"Health",0.547619047619048
"459",1226,"Matching",40,"Health",0.571428571428571
"468",1002,"Matching",60,"Social",1
"471",1005,"Matching",30,"Social",0.761904761904762
"474",1008,"Matching",68,"Social",0
"479",1013,"Matching",84,"Social",0.928571428571429
"480",1014,"Matching",67,"Social",0.928571428571429
"481",1015,"Matching",35,"Social",0.357142857142857
"482",1016,"Matching",30,"Social",0.857142857142857
"483",1017,"Matching",30,"Social",0.523809523809524
"484",1018,"Matching",67,"Social",1
"486",1020,"Matching",50,"Social",1
