"","Variable","pvalue","significance"
"1","Q10","0.141",""
"2","Q11","0.03","*"
"3","Q12","0.746",""
"4","Q13","0.135",""
"5","Q14","0.044","*"
"6","Q18","0.000204","*"
"7","Q23_1","0.006","*"
"8","Q24_1","0.002","*"
"9","Q25","0.645",""
"10","Q169_1","0.033","*"
"11","Q169_2","0.906",""
"12","Q169_3","0.03","*"
"13","SC0","0.023","*"
"14","SC1","0.496",""
"15","SC2","0.037","*"
"16","SC3","0.356",""
"17","SC4","0.774",""
"18","SC5","0.569",""
"19","discountdiff","0.259",""
"20","valuediff","0.296",""
